Sawed-Off | Fubar (Battle-Scarred)
StatTrak™ M4A1-S | Chantico's Fire (Field-Tested)
★ Karambit | Tiger Tooth (Factory New)
StatTrak™ Galil AR | Firefight (Factory New)
★ Bayonet | Damascus Steel (Battle-Scarred)
★ M9 Bayonet | Doppler (Factory New)
★ Flip Knife | Tiger Tooth (Factory New)
★ Gut Knife | Doppler (Factory New)
StatTrak™ Galil AR | Firefight (Well-Worn)
StatTrak™ UMP-45 | Primal Saber (Well-Worn)
★ Flip Knife | Marble Fade (Factory New)
M4A1-S | Chantico's Fire (Factory New)
★ Flip Knife | Ultraviolet (Field-Tested)
StatTrak™ ★ M9 Bayonet | Marble Fade (Factory New)
StatTrak™ CZ75-Auto | Red Astor (Well-Worn)
★ Bayonet | Damascus Steel (Well-Worn)
StatTrak™ M4A1-S | Chantico's Fire (Minimal Wear)
★ Flip Knife | Ultraviolet (Well-Worn)
StatTrak™ SSG 08 | Ghost Crusader (Well-Worn)
StatTrak™ AUG | Fleet Flock (Factory New)
StatTrak™ UMP-45 | Primal Saber (Minimal Wear)
StatTrak™ P250 | Asiimov (Well-Worn)
★ Flip Knife | Damascus Steel (Minimal Wear)
★ Gut Knife | Damascus Steel (Battle-Scarred)
★ M9 Bayonet | Marble Fade (Factory New)
StatTrak™ PP-Bizon | Judgement of Anubis (Battle-Scarred)
★ Bayonet | Marble Fade (Minimal Wear)
★ Karambit | Tiger Tooth (Minimal Wear)
★ M9 Bayonet | Tiger Tooth (Factory New)
StatTrak™ UMP-45 | Primal Saber (Factory New)
StatTrak™ PP-Bizon | Judgement of Anubis (Minimal Wear)
StatTrak™ P250 | Asiimov (Minimal Wear)
★ Karambit | Marble Fade (Minimal Wear)
★ M9 Bayonet | Damascus Steel (Factory New)
★ Karambit | Doppler (Factory New)
★ Karambit | Ultraviolet (Field-Tested)
★ Bayonet | Tiger Tooth (Minimal Wear)
★ Bayonet | Damascus Steel (Field-Tested)
★ Bayonet | Tiger Tooth (Factory New)
★ M9 Bayonet | Rust Coat (Battle-Scarred)
★ Bayonet | Ultraviolet (Battle-Scarred)
StatTrak™ ★ Bayonet | Tiger Tooth (Factory New)
StatTrak™ ★ Gut Knife | Tiger Tooth (Minimal Wear)
★ Bayonet | Damascus Steel (Factory New)
★ Karambit | Ultraviolet (Battle-Scarred)
StatTrak™ ★ M9 Bayonet | Doppler (Minimal Wear)
StatTrak™ ★ Gut Knife | Tiger Tooth (Factory New)
★ Gut Knife | Rust Coat (Battle-Scarred)
StatTrak™ AUG | Fleet Flock (Well-Worn)
★ Flip Knife | Ultraviolet (Battle-Scarred)
★ Gut Knife | Damascus Steel (Factory New)
★ M9 Bayonet | Ultraviolet (Battle-Scarred)
★ M9 Bayonet | Damascus Steel (Well-Worn)
★ Gut Knife | Ultraviolet (Battle-Scarred)
StatTrak™ ★ Flip Knife | Rust Coat (Battle-Scarred)
StatTrak™ ★ Gut Knife | Damascus Steel (Factory New)
StatTrak™ ★ M9 Bayonet | Ultraviolet (Field-Tested)
★ Karambit | Ultraviolet (Minimal Wear)
★ Karambit | Marble Fade (Factory New)
StatTrak™ ★ M9 Bayonet | Ultraviolet (Minimal Wear)
★ M9 Bayonet | Damascus Steel (Field-Tested)
StatTrak™ ★ Gut Knife | Doppler (Minimal Wear)
★ M9 Bayonet | Rust Coat (Well-Worn)
★ Karambit | Ultraviolet (Well-Worn)
StatTrak™ M4A1-S | Chantico's Fire (Well-Worn)
★ M9 Bayonet | Damascus Steel (Battle-Scarred)
StatTrak™ ★ Bayonet | Rust Coat (Battle-Scarred)
★ Bayonet | Marble Fade (Factory New)
StatTrak™ M4A1-S | Chantico's Fire (Factory New)
★ Karambit | Damascus Steel (Well-Worn)
StatTrak™ ★ Gut Knife | Marble Fade (Factory New)
★ Gut Knife | Tiger Tooth (Minimal Wear)
★ Karambit | Damascus Steel (Field-Tested)
★ Flip Knife | Damascus Steel (Field-Tested)
★ Gut Knife | Ultraviolet (Field-Tested)
★ Flip Knife | Damascus Steel (Factory New)
StatTrak™ PP-Bizon | Judgement of Anubis (Well-Worn)
★ Bayonet | Ultraviolet (Well-Worn)
★ Flip Knife | Ultraviolet (Factory New)
StatTrak™ ★ Flip Knife | Ultraviolet (Minimal Wear)
★ Karambit | Damascus Steel (Factory New)
StatTrak™ ★ Flip Knife | Damascus Steel (Well-Worn)
StatTrak™ ★ Karambit | Marble Fade (Factory New)
★ Flip Knife | Tiger Tooth (Minimal Wear)
StatTrak™ ★ Karambit | Doppler (Minimal Wear)
★ Gut Knife | Damascus Steel (Field-Tested)
★ Gut Knife | Doppler (Minimal Wear)
StatTrak™ ★ Karambit | Rust Coat (Battle-Scarred)
★ Flip Knife | Damascus Steel (Battle-Scarred)
StatTrak™ ★ Bayonet | Marble Fade (Factory New)
★ Karambit | Doppler (Minimal Wear)
★ Bayonet | Ultraviolet (Minimal Wear)
★ Gut Knife | Damascus Steel (Minimal Wear)
★ Gut Knife | Damascus Steel (Well-Worn)
★ M9 Bayonet | Doppler (Minimal Wear)
★ M9 Bayonet | Ultraviolet (Minimal Wear)
★ Gut Knife | Ultraviolet (Minimal Wear)
StatTrak™ ★ Karambit | Tiger Tooth (Factory New)
★ M9 Bayonet | Ultraviolet (Field-Tested)
StatTrak™ ★ Karambit | Damascus Steel (Battle-Scarred)
★ Flip Knife | Doppler (Minimal Wear)
★ Bayonet | Damascus Steel (Minimal Wear)
StatTrak™ ★ Karambit | Marble Fade (Minimal Wear)
★ Bayonet | Ultraviolet (Field-Tested)
★ Flip Knife | Rust Coat (Well-Worn)
StatTrak™ ★ M9 Bayonet | Doppler (Factory New)
★ Bayonet | Rust Coat (Well-Worn)
★ Gut Knife | Marble Fade (Minimal Wear)
StatTrak™ ★ Karambit | Doppler (Factory New)
StatTrak™ ★ M9 Bayonet | Rust Coat (Battle-Scarred)
★ Gut Knife | Rust Coat (Well-Worn)
StatTrak™ ★ Flip Knife | Marble Fade (Factory New)
StatTrak™ ★ Flip Knife | Ultraviolet (Factory New)
StatTrak™ ★ Gut Knife | Damascus Steel (Battle-Scarred)
★ M9 Bayonet | Tiger Tooth (Minimal Wear)
StatTrak™ ★ Karambit | Ultraviolet (Battle-Scarred)
StatTrak™ ★ Gut Knife | Ultraviolet (Field-Tested)
StatTrak™ ★ Gut Knife | Rust Coat (Battle-Scarred)
StatTrak™ ★ M9 Bayonet | Tiger Tooth (Factory New)
StatTrak™ ★ Gut Knife | Rust Coat (Well-Worn)
StatTrak™ ★ Flip Knife | Doppler (Factory New)
StatTrak™ ★ M9 Bayonet | Ultraviolet (Battle-Scarred)
StatTrak™ ★ Flip Knife | Ultraviolet (Well-Worn)
StatTrak™ ★ Gut Knife | Doppler (Factory New)
StatTrak™ ★ M9 Bayonet | Damascus Steel (Battle-Scarred)
★ Karambit | Damascus Steel (Minimal Wear)
StatTrak™ ★ Flip Knife | Tiger Tooth (Factory New)
★ Bayonet | Doppler (Minimal Wear)
★ M9 Bayonet | Damascus Steel (Minimal Wear)
StatTrak™ ★ Bayonet | Doppler (Minimal Wear)
StatTrak™ ★ Gut Knife | Damascus Steel (Field-Tested)
StatTrak™ ★ Bayonet | Damascus Steel (Factory New)
StatTrak™ ★ Bayonet | Doppler (Factory New)
StatTrak™ ★ Bayonet | Ultraviolet (Battle-Scarred)
★ M9 Bayonet | Marble Fade (Minimal Wear)
StatTrak™ ★ Bayonet | Tiger Tooth (Minimal Wear)
StatTrak™ ★ M9 Bayonet | Damascus Steel (Minimal Wear)
★ Flip Knife | Marble Fade (Minimal Wear)
★ M9 Bayonet | Ultraviolet (Factory New)
StatTrak™ ★ Karambit | Ultraviolet (Minimal Wear)
★ M9 Bayonet | Ultraviolet (Well-Worn)
★ Karambit | Ultraviolet (Factory New)
StatTrak™ ★ Flip Knife | Damascus Steel (Battle-Scarred)
StatTrak™ ★ Bayonet | Marble Fade (Minimal Wear)
★ Gut Knife | Ultraviolet (Well-Worn)
StatTrak™ ★ Gut Knife | Marble Fade (Minimal Wear)
StatTrak™ ★ Bayonet | Ultraviolet (Field-Tested)
★ Karambit | Rust Coat (Well-Worn)
StatTrak™ ★ M9 Bayonet | Rust Coat (Well-Worn)
StatTrak™ ★ Bayonet | Damascus Steel (Well-Worn)
StatTrak™ ★ Gut Knife | Ultraviolet (Battle-Scarred)
StatTrak™ ★ Flip Knife | Damascus Steel (Minimal Wear)
★ Gut Knife | Ultraviolet (Factory New)
★ Karambit | Damascus Steel (Battle-Scarred)
StatTrak™ ★ Flip Knife | Damascus Steel (Field-Tested)
StatTrak™ ★ Karambit | Tiger Tooth (Minimal Wear)
StatTrak™ ★ Karambit | Damascus Steel (Minimal Wear)
StatTrak™ ★ Flip Knife | Damascus Steel (Factory New)
StatTrak™ ★ Flip Knife | Doppler (Minimal Wear)
StatTrak™ ★ Flip Knife | Ultraviolet (Battle-Scarred)
StatTrak™ ★ Karambit | Damascus Steel (Field-Tested)
StatTrak™ ★ Gut Knife | Ultraviolet (Well-Worn)
★ Flip Knife | Damascus Steel (Well-Worn)
★ Bayonet | Ultraviolet (Factory New)
StatTrak™ ★ Karambit | Ultraviolet (Factory New)
StatTrak™ ★ M9 Bayonet | Damascus Steel (Factory New)
StatTrak™ ★ M9 Bayonet | Damascus Steel (Field-Tested)
StatTrak™ ★ Gut Knife | Ultraviolet (Factory New)
StatTrak™ ★ M9 Bayonet | Ultraviolet (Well-Worn)
StatTrak™ ★ Gut Knife | Damascus Steel (Well-Worn)
StatTrak™ ★ Flip Knife | Ultraviolet (Field-Tested)
StatTrak™ ★ Bayonet | Rust Coat (Well-Worn)
StatTrak™ ★ Bayonet | Ultraviolet (Minimal Wear)
StatTrak™ ★ Gut Knife | Damascus Steel (Minimal Wear)
StatTrak™ ★ Flip Knife | Rust Coat (Well-Worn)
StatTrak™ ★ Karambit | Ultraviolet (Field-Tested)
StatTrak™ ★ M9 Bayonet | Tiger Tooth (Minimal Wear)
StatTrak™ ★ Bayonet | Damascus Steel (Minimal Wear)
