MAC-10 | Whitefish (Battle-Scarred)
AUG | Momentum (Factory New)
XM1014 | Incinegator (Well-Worn)
★ Navaja Knife | Tiger Tooth (Factory New)
UMP-45 | Moonrise (Well-Worn)
Five-SeveN | Angry Mob (Field-Tested)
Five-SeveN | Angry Mob (Well-Worn)
M4A4 | The Emperor (Battle-Scarred)
Five-SeveN | Angry Mob (Factory New)
★ Stiletto Knife | Rust Coat (Battle-Scarred)
XM1014 | Incinegator (Minimal Wear)
★ Ursus Knife | Ultraviolet (Battle-Scarred)
M4A4 | The Emperor (Minimal Wear)
★ Ursus Knife | Marble Fade (Factory New)
★ Ursus Knife | Ultraviolet (Factory New)
AUG | Momentum (Well-Worn)
★ Talon Knife | Doppler (Factory New)
★ Talon Knife | Damascus Steel (Battle-Scarred)
★ Stiletto Knife | Ultraviolet (Minimal Wear)
★ Stiletto Knife | Ultraviolet (Battle-Scarred)
★ Navaja Knife | Damascus Steel (Battle-Scarred)
★ Ursus Knife | Damascus Steel (Field-Tested)
Five-SeveN | Angry Mob (Minimal Wear)
★ Talon Knife | Ultraviolet (Battle-Scarred)
★ Stiletto Knife | Doppler (Minimal Wear)
★ Navaja Knife | Rust Coat (Battle-Scarred)
★ Ursus Knife | Tiger Tooth (Factory New)
★ Navaja Knife | Marble Fade (Factory New)
★ Talon Knife | Damascus Steel (Minimal Wear)
★ Ursus Knife | Tiger Tooth (Minimal Wear)
★ Stiletto Knife | Damascus Steel (Factory New)
★ Ursus Knife | Doppler (Factory New)
★ Talon Knife | Tiger Tooth (Minimal Wear)
★ Stiletto Knife | Damascus Steel (Well-Worn)
★ Stiletto Knife | Marble Fade (Factory New)
★ Ursus Knife | Damascus Steel (Factory New)
★ Stiletto Knife | Damascus Steel (Minimal Wear)
★ Navaja Knife | Damascus Steel (Well-Worn)
★ Talon Knife | Damascus Steel (Factory New)
★ Ursus Knife | Rust Coat (Battle-Scarred)
★ Talon Knife | Tiger Tooth (Factory New)
★ Stiletto Knife | Ultraviolet (Field-Tested)
★ Navaja Knife | Doppler (Factory New)
★ Talon Knife | Marble Fade (Factory New)
★ Ursus Knife | Doppler (Minimal Wear)
★ Talon Knife | Rust Coat (Battle-Scarred)
★ Talon Knife | Ultraviolet (Field-Tested)
★ Navaja Knife | Damascus Steel (Factory New)
★ Ursus Knife | Damascus Steel (Minimal Wear)
★ Ursus Knife | Damascus Steel (Battle-Scarred)
★ Stiletto Knife | Rust Coat (Well-Worn)
★ Talon Knife | Rust Coat (Well-Worn)
★ Talon Knife | Damascus Steel (Field-Tested)
★ Talon Knife | Ultraviolet (Well-Worn)
★ Talon Knife | Damascus Steel (Well-Worn)
★ Stiletto Knife | Damascus Steel (Battle-Scarred)
★ Navaja Knife | Ultraviolet (Field-Tested)
★ Ursus Knife | Marble Fade (Minimal Wear)
★ Navaja Knife | Ultraviolet (Battle-Scarred)
★ Navaja Knife | Marble Fade (Minimal Wear)
★ Ursus Knife | Ultraviolet (Well-Worn)
★ Ursus Knife | Rust Coat (Well-Worn)
★ Talon Knife | Ultraviolet (Minimal Wear)
★ Ursus Knife | Damascus Steel (Well-Worn)
★ Navaja Knife | Damascus Steel (Field-Tested)
★ Stiletto Knife | Ultraviolet (Well-Worn)
★ Talon Knife | Doppler (Minimal Wear)
★ Navaja Knife | Ultraviolet (Minimal Wear)
★ Talon Knife | Ultraviolet (Factory New)
★ Navaja Knife | Rust Coat (Well-Worn)
★ Ursus Knife | Ultraviolet (Minimal Wear)
★ Stiletto Knife | Marble Fade (Minimal Wear)
★ Navaja Knife | Tiger Tooth (Minimal Wear)
★ Stiletto Knife | Ultraviolet (Factory New)
★ Navaja Knife | Damascus Steel (Minimal Wear)
★ Navaja Knife | Ultraviolet (Well-Worn)
★ Stiletto Knife | Tiger Tooth (Minimal Wear)
★ Talon Knife | Marble Fade (Minimal Wear)
